"Customer_ID";"Recency";"Frequency";"Monetary";"Avg_Order_Value";"Session_Count";"Avg_Session_Duration";"Pages_Viewed";"Clicks";"Campaign_Response";"Wishlist_Adds";"Cart_Abandon_Rate";"Returns";"Segment_Label"
"CUST00001";51;13;1560;113;56;14.766;33;828;1;28;17.629;8;"Silver"
"CUST00002";134;5;3;26;7;5.409;2;60;0;4;23.024;9;"Iron"
"CUST00003";55;15;235;57;37;5.082;11;710;1;17;28.392;16;"Copper"
"CUST00004";46;11;1293;191;48;18.936;20;1223;0;17;15.192;0;"Silver"
"CUST00005";21;30;3602;239;90;26.461;37;1892;0;57;11.427;8;"Gold"
"CUST00006";25;42;4515;282;114;21.148;53;2187;1;63;14.148;4;"Gold"
"CUST00007";9;67;8835;382;152;32.171;76;4766;1;65;6.812;4;"Platinum"
"CUST00008";79;1;98;28;12;8.266;6;55;0;2;28.224;3;"Iron"
"CUST00009";63;15;362;52;24;14.785;19;535;0;19;25.785;13;"Copper"
"CUST00010";83;18;489;67;29;12.573;26;407;0;8;20.22;11;"Copper"
"CUST00011";9;76;7925;379;196;28.325;66;4608;1;67;9.721;1;"Platinum"
"CUST00012";131;6;56;29;14;3.351;9;212;0;0;33.875;12;"Iron"
"CUST00013";48;18;442;64;36;11.25;11;440;0;10;28.739;7;"Copper"
"CUST00014";11;62;4511;188;81;25.778;42;2405;1;43;5.156;8;"Gold"
"CUST00015";16;47;3983;268;95;16.85;33;1440;0;49;11.786;7;"Gold"
"CUST00016";16;55;3868;285;114;28.017;42;1860;0;61;12.839;7;"Gold"
"CUST00017";44;29;1207;120;47;11.774;40;1305;0;33;17.956;4;"Silver"
"CUST00018";35;37;1385;115;64;19.014;44;1110;0;16;18.281;2;"Silver"
"CUST00019";41;36;1700;151;44;13.446;27;713;0;28;12.275;12;"Silver"
"CUST00020";15;59;3742;164;109;25.345;40;1103;1;31;11.793;6;"Gold"
"CUST00021";39;16;372;56;31;11.4;13;246;1;19;21.343;12;"Copper"
"CUST00022";27;50;2367;214;95;25.2;50;2578;1;50;11.672;6;"Gold"
"CUST00023";28;64;4663;265;110;19.822;34;1755;0;40;11.446;7;"Gold"
"CUST00024";40;29;1060;137;37;18.972;49;576;1;38;16.225;4;"Silver"
"CUST00025";39;10;1040;178;52;12.829;24;1488;0;31;16.31;1;"Silver"
"CUST00026";70;5;350;99;22;9.157;29;379;0;12;27.908;2;"Copper"
"CUST00027";15;48;2764;295;115;27.471;56;2414;1;58;10.06;3;"Gold"
"CUST00028";38;15;1682;108;49;17.501;46;512;1;11;16.99;0;"Silver"
"CUST00029";43;30;1823;197;38;10.118;43;913;0;20;12.131;0;"Silver"
"CUST00030";4;62;7886;215;196;34.269;60;4195;0;86;3.98;1;"Platinum"
"CUST00031";41;18;193;91;28;14.793;14;227;0;8;15.728;0;"Copper"
"CUST00032";25;44;4742;230;85;27.434;42;2952;0;34;6.64;3;"Gold"
"CUST00033";14;63;7646;210;130;20.144;62;3022;1;51;8.209;3;"Platinum"
"CUST00034";76;5;6;24;10;8.386;3;79;1;1;41.404;8;"Iron"
"CUST00035";141;2;43;40;12;3.785;12;131;0;4;25.784;20;"Iron"
"CUST00036";85;12;462;73;11;10.547;10;222;0;9;18.799;13;"Copper"
"CUST00037";35;26;1881;159;68;10.596;20;915;0;29;18.725;13;"Silver"
"CUST00038";12;62;7455;229;101;20.759;93;2792;1;55;7.805;1;"Platinum"
"CUST00039";59;13;193;106;35;13.295;26;215;0;14;15.12;1;"Copper"
"CUST00040";23;10;1578;183;43;18.211;47;1036;0;15;16.528;7;"Silver"
"CUST00041";15;67;3987;156;89;23.991;48;2766;1;62;5.021;5;"Gold"
"CUST00042";29;34;961;199;67;18.081;40;591;1;15;15.032;14;"Silver"
"CUST00043";12;52;7858;246;198;23.568;78;3689;1;51;7.886;1;"Platinum"
"CUST00044";171;5;42;30;14;2.747;14;134;1;3;37.073;22;"Iron"
"CUST00045";14;68;3908;295;80;23.18;63;1585;0;53;9.233;7;"Gold"
"CUST00046";61;12;324;87;21;11.087;28;440;1;19;27.267;10;"Copper"
"CUST00047";37;17;802;140;68;17.852;32;692;0;33;11.935;12;"Silver"
"CUST00048";21;37;1677;122;44;16.428;25;1430;0;12;16.01;13;"Silver"
"CUST00049";57;38;999;158;68;11.036;24;567;0;22;19.994;13;"Silver"
"CUST00050";20;58;3185;291;115;19.307;68;2561;1;68;13.228;9;"Gold"
"CUST00051";161;5;97;17;6;4.548;8;223;0;0;20.031;11;"Iron"
"CUST00052";52;7;208;88;34;8.273;19;693;0;17;23.723;12;"Copper"
"CUST00053";68;4;13;46;8;1.151;8;103;0;0;23.098;18;"Iron"
"CUST00054";93;1;46;28;18;5.156;10;130;0;2;34.617;19;"Iron"
"CUST00055";38;10;934;106;58;14.147;24;1105;1;33;10.1;9;"Silver"
"CUST00056";135;9;12;35;17;3.218;4;162;0;4;41.328;14;"Iron"
"CUST00057";10;83;8221;222;158;35.795;53;2754;0;90;3.18;3;"Platinum"
"CUST00058";18;53;3590;266;75;16.008;54;2561;0;38;12.803;0;"Gold"
"CUST00059";1;54;7056;397;127;24.478;77;4855;1;76;8.736;2;"Platinum"
"CUST00060";40;39;965;198;32;14.455;46;529;0;30;15.74;7;"Silver"
"CUST00061";34;27;679;128;67;14.278;36;998;1;32;14.79;5;"Silver"
"CUST00062";21;40;3519;262;79;19.667;32;2278;1;52;9.946;2;"Gold"
"CUST00063";74;11;465;68;39;6.273;16;555;0;15;25.65;0;"Copper"
"CUST00064";47;27;1671;139;64;11.904;25;1481;0;18;15.248;14;"Silver"
"CUST00065";24;42;3807;181;61;20.151;67;1609;0;50;7.715;7;"Gold"
"CUST00066";47;23;1759;147;35;18.237;20;927;1;18;10.099;3;"Silver"
"CUST00067";22;66;4985;193;76;19.815;64;1379;1;59;12.768;2;"Gold"
"CUST00068";66;7;285;106;18;13.597;29;457;0;12;17.906;17;"Copper"
"CUST00069";9;50;9657;231;197;28.347;80;3845;1;97;6.662;2;"Platinum"
"CUST00070";150;8;36;37;19;4.575;12;85;1;1;25.184;3;"Iron"
"CUST00071";43;11;189;57;33;14.028;24;462;0;10;22.878;11;"Copper"
"CUST00072";27;44;2100;165;64;25.237;57;2272;1;56;12.173;3;"Gold"
"CUST00073";11;50;9913;200;171;25.126;77;3877;0;90;4.703;0;"Platinum"
"CUST00074";79;15;424;83;16;13.269;24;448;0;9;24.0;19;"Copper"
"CUST00075";44;14;123;75;38;10.648;19;216;1;6;25.682;8;"Copper"
"CUST00076";36;14;347;58;31;5.992;25;784;0;17;16.103;6;"Copper"
"CUST00077";72;12;362;112;29;10.675;17;653;0;15;20.293;7;"Copper"
"CUST00078";6;98;8536;311;185;27.754;57;4672;1;73;2.433;3;"Platinum"
"CUST00079";21;11;1870;113;68;18.785;43;1279;0;32;17.274;8;"Silver"
"CUST00080";13;55;2035;280;60;18.955;34;2682;1;63;12.278;7;"Gold"
"CUST00081";173;6;90;47;17;7.859;10;105;0;0;25.863;14;"Iron"
"CUST00082";44;6;433;114;19;10.09;19;209;0;6;17.483;7;"Copper"
"CUST00083";20;10;1082;108;45;18.524;47;906;1;34;18.566;12;"Silver"
"CUST00084";8;60;7060;389;190;35.543;91;3799;0;89;5.796;3;"Platinum"
"CUST00085";58;25;668;120;51;17.226;29;1469;1;25;11.541;13;"Silver"
"CUST00086";45;30;1030;152;50;17.099;27;712;0;17;17.397;0;"Silver"
"CUST00087";48;16;180;114;14;8.535;11;770;1;10;26.571;11;"Copper"
"CUST00088";64;18;275;55;24;8.01;25;731;1;14;22.408;1;"Copper"
"CUST00089";123;2;8;20;10;7.502;10;299;0;3;46.924;9;"Iron"
"CUST00090";41;38;1852;160;34;17.073;20;1256;0;35;14.085;6;"Silver"
"CUST00091";23;34;2405;219;91;16.002;39;1494;1;63;5.639;2;"Gold"
"CUST00092";73;10;422;115;29;11.444;12;638;0;7;17.339;7;"Copper"
"CUST00093";49;14;103;67;28;14.546;18;791;0;13;15.384;12;"Copper"
"CUST00094";57;30;1650;120;44;13.634;40;997;0;23;10.438;6;"Silver"
"CUST00095";43;10;312;64;29;5.384;17;328;1;5;19.374;19;"Copper"
"CUST00096";35;16;634;149;31;19.791;37;688;0;14;11.045;4;"Silver"
"CUST00097";48;20;1272;195;65;18.141;41;1173;0;21;11.081;0;"Silver"
"CUST00098";29;37;1516;181;47;17.535;33;1067;0;35;17.27;14;"Silver"
"CUST00099";1;56;7569;268;184;24.952;94;3067;1;63;9.322;2;"Platinum"
"CUST00100";27;58;2947;187;75;18.159;64;1171;1;33;7.344;9;"Gold"
"CUST00101";13;94;5157;297;129;36.856;73;4991;1;90;0.662;1;"Platinum"
"CUST00102";48;11;412;68;33;11.68;19;379;0;10;19.5;8;"Copper"
"CUST00103";42;17;616;160;40;11.8;32;1153;1;34;18.901;1;"Silver"
"CUST00104";37;19;698;149;43;14.651;21;1169;1;21;14.81;3;"Silver"
"CUST00105";108;1;34;32;9;8.245;3;164;0;3;31.146;7;"Iron"
"CUST00106";17;61;2092;156;61;28.566;57;1751;0;61;5.03;4;"Gold"
"CUST00107";28;20;1098;174;31;16.802;37;1006;1;24;19.817;14;"Silver"
"CUST00108";57;18;323;74;29;5.808;20;666;1;15;17.44;9;"Copper"
"CUST00109";23;63;3251;167;72;22.855;49;2473;0;59;6.659;9;"Gold"
"CUST00110";2;87;7742;227;173;22.81;66;2533;1;66;6.684;1;"Platinum"
"CUST00111";23;65;4971;227;117;18.792;38;1788;1;59;11.899;7;"Gold"
"CUST00112";13;60;3690;218;65;24.908;56;1007;1;65;10.964;6;"Gold"
"CUST00113";155;7;14;46;18;9.017;11;260;1;0;37.737;10;"Iron"
"CUST00114";44;14;206;116;39;11.761;20;548;1;13;18.805;9;"Copper"
"CUST00115";50;11;353;78;19;5.311;27;414;0;8;16.075;2;"Copper"
"CUST00116";144;4;1;13;0;5.193;1;247;0;3;28.188;6;"Iron"
"CUST00117";48;17;381;93;21;12.988;23;541;0;16;28.862;5;"Copper"
"CUST00118";19;63;2806;190;116;15.604;30;2909;1;37;12.675;0;"Gold"
"CUST00119";64;1;73;45;0;9.434;5;83;0;0;28.159;21;"Iron"
"CUST00120";34;14;1026;124;50;13.008;21;718;0;30;19.116;2;"Silver"
